date,review,rating,title
2026-05-12,"Why’s it so slow?? Like unbearably slow and buggy. Also where is lossless for Amazon Echo devices?? What a lie that it was coming out in October 2025!! It only hit one of my devices, the rest only go up to “very high”. Also, bring back radio stations based on a playlist. Much better than mixed playlists. Seriously considering switching to Apple Music. Price increase after price increase for an app that is getting worse… make it make sense. FIX THIS!!!!!",1,Slowest app ever
2026-05-12,Its very good love the app but when I try to connect it to my tv it won't and it glitches and just won't connect,3,I like it but not so much
2026-05-12,5 stars,5,very good
2026-05-12,Without Spotify premium you ain’t Listening to anything you want to,1,Without premium
2026-05-12,I have always enjoyed listening to music with me granddaughter in the car. I have really enjoyed experiencing new song every day.,5,Spotify
2026-05-12,It’s good but a lot of ads,5,Best ever
2026-05-12,I love Billie Eilish.,5,Billie Eilish
2026-05-12,Love the music for any occasion,5,What a way to spend the day
2026-05-12,"Loved Spotify for years, was my go to for my streaming music. But year after year the price just went up and up without getting anything new for my dollar. Rating is based solely on pricing.",2,Great but expensive
2026-05-12,"I actually love the app! I especially love the addition of being able to chat with ur contacts and eating ur playlist, it’s like the old game snake! I love listening to music aswell! It’s amazing 💜😁😇😃",5,Spotify
2026-05-12,You guys make how much money off consumers and you can’t fix an outage? My Spotify has not been working for a few days now and it’s honestly very irritating that you guys have still not found out what’s wrong. I pay for the Spotify premium and I should be getting what I pay for genuinely.,2,Deal with the outage
2026-05-12,"Siempre problemas con la reproducción, la música no inicia, se corta, tanto tiempo y siguen teniendo los mismos problemas mayo 20206",1,OPINIÓN REAL
2026-05-12,Such a good better when you have premium not adds,5,Review
2026-05-12,"Spotify, you do an amazing job at song recommendations and personalized tracks. Really great music!",5,Spotify with the bangers
2026-05-12,Es muy buena la aplicación,5,Spotify
2026-05-12,"For such a “big mainstream” app, this app is broken and dysfunctional way too much of the time, even on a brand new phone.",2,Poor performance and navigation
2026-05-12,That kid whoever he is gone be a star,5,Kbopin
2026-05-12,Needs an update to fix the bugs.,2,Needs an update
2026-05-12,"App likes to tell me I am offline when I have full bars, but great otherwise",4,Spotify review
2026-05-12,But I don’t like how you can’t choose what you wanna listen to because for me it wants me to buy premium to choose what I want to listen to,5,The app is 10/10
2026-05-12,why am i paying $12 a month on an app that doesnt work? it loads for 30 minutes straight just to play one song. my wifi is strong. i cleared the app cache. i tried everything i could possibly do and it works fine on my phone on the same wifi. apparently this is a known bug? and you just choose to not fix it? why am i paying for this?,1,app is non functional on ipad
2026-05-12,I want to get rid of this one song but I won’t let me,2,Please read this
2026-05-12,I’ve had Spotify for over 5 years and to be honest it seems like it’s going in the wrong direction. I couldn’t find certain albums or the artist in general I couldn’t find any Gucci mane albums at all couldn’t even find sza (sos deluxe album) went on Apple it popped right up . Not liking that,2,Disappointed
2026-05-12,"I’ve had no issue before, but I’ve just updated and the search feature within, and outside of, playlists is completely broken. Searching popular artists and songs (the killers, the Isley brothers, dancing queen by abba) returns no searches. How?? Fix it asap.",1,Zero Stars If I Could
2026-05-12,"I’ve been using Spotify for a while now and I loved it, but it’s been glitching for the last few months to the point that I want to stop using it and switch music apps. I gave it a while because sometimes I know apps get issues here and there and they need time to get them fixed but I’m getting tired of it. And it’s not on my end, it happens with whatever I use (headphones, car speaker, phone speaker, etc.) and I have service but also have the music downloaded to offline play, as well (the green circle with the down arrow). I’m also not the only one with the problem, it’s happening to at least three other people I can think of off the top of my head.",1,Glitchy
2026-05-12,laggy,1,laggy
2026-05-12,"But when I go to the next song to play in a playlist. It just stops, and it’s annoying because I want to choose the next song after being done listening in the actual playlist with similar vibes. Please fix this problem immediately.",5,Okay!
2026-05-12,5 de 5👍👍👍👍,5,Lo mejor
2026-05-12,Nice,5,It ok
2026-05-12,nothing seems to load anymore,2,lately it’s been very buggy
2026-05-12,"This app is amazing, they literally have everything, premium is 100% WORTH IT!!! Best music app ever, and I LOVED the “your party of the year” or whatever it is, it’s amazing!!! Appreciate they put effort into that!! Definitely recommend💗🎧🎵💚",4,absolutely incredible!!
2026-05-12,It’s good but doesn’t let you pick a song after so long,4,Review
2026-05-12,Loving just listening and smiling and vibrating to my  favorite songs a 10000 out of 10000,5,Relaxing
2026-05-12,"The other day I got a notification when I went into the app to “update”.
Something I had never seen before. So I did. Ever since that day, the app is slow, pages don’t load, info doesn’t load & track search is practically non-existent.  And it’s not my phone. I tried everything. Even got advice from A.I … so hopefully the Spotify staff see this post. Thank you",3,2026 Update issues
2026-05-12,Best streaming service ever devised!,5,The Best
2026-05-12,Lo malo es que ahí Masomenos mucha propaganda pero lo bueno es que el premium no es muy caro y bofff pa escuchar música con audífonos nea,5,La buena música
2026-05-12,Second to None,5,Spotify
2026-05-12,"I luv this music app, it's the besttt",5,Yesss
2026-05-12,Best music app oat no questions,5,Spotify is life
2026-05-12,Spotify need updateASAP in new iOS because it’s not working anymore,3,Update ASAP
2026-05-12,everything except downloaded music stopped working (i am not one who has this problem),1,Doesn’t work
2026-05-12,Soo good I love this so much I goon when I listen to BIGXthaplug.,5,Soo good
2026-05-12,Perfect timing for Spotify to push a pop up asking for a review as it’s currently not working at all on mobile or web browser.,1,Spotify can’t play music over internet
2026-05-12,Best way to listen to music!! Great transitions and playlists. I get to be introduced to new artists I wouldn’t normally listen too. I am officially a proud Swifty!! At a time I needed in my life. I recommend to all!!,5,All music!
2026-05-12,"You make so much money for your app, but you can't get it working again for 2 days, shame on you.",1,Shame
2026-05-12,Good luck searching on this app. It doesn’t work…and the funny things is the search function might be the most essential part of a music library.,1,App rarely works
2026-05-12,Spotify ma plateforme de musique favori ❤️,5,Mon favori
2026-05-12,the search doesn't work at all. this is the worst app ever created,1,worst app ever
2026-05-12,I have been having issues casting to my Google devices. Shows available devices but doesn’t connect or connects for a couple songs and then disconnects.,3,Casting to Google
2026-05-12,"Sometimes it works, and sometimes it doesn’t. Then you have to delete and reinstall it and it might work again. Very unstable and then the audacity to charge money for this!",1,Unstable
2026-05-12,Hesaba giremiyorum kayıt olmama yeniden oturum açmama izin vermiyor gmailden kod istiyorum kod geçerli değil diyor kısacası berbat kullanıcıları önemsemeyen uygulamanın teki,1,En kötü müzik Uygulaması
2026-05-12,My playlists have gone amuck. Playlists on my phone no longer exist on my television. Other playlists have more songs when I try to add songs than when I just open the playlist.,1,Confused
2026-05-12,Why are we paying extortion prices for this dogwater treatment? What do you need billions of our hard earned money for if you’re not even going to keep the platform up?,3,Jfc
2026-05-12,This app is genuinely the worst to listen to music,1,So bad
2026-05-12,Really good interface and even the free version is well worth it. 10/10 fs,5,10/10
2026-05-12,the app sucks i had it for over a year already and now it keeps kicking me out of my own 2 accounts what the heck spotify,1,this app sucks
2026-05-12,App completely breaks itself and stops working for a day once every two weeks,1,Dysfunctional Mess
2026-05-12,CONSTANTLY GLITCHING,1,FIX YOUR APP
2026-05-12,"Audio quality is consistently good, song recommendations are great, and playlist functionality is powerful and intuitive. Only change I would make is for listening stats to be more consistently updated, e.g. “Wrapped” for a given month / week. Premium is worth it if you spend a lot of time listening to music, podcasts, and/or audiobooks.",5,Hands down the best streaming app for music
2026-05-12,I likey a lot!,5,Spotify
2026-05-12,Navbudda,4,It was good I really loved it I like how you guys put my favorite song
